MicrobeID	PubSeedID	2 - complete comparative genomics; 1 - certain comparative genomics; 0 - no comparative genomics	Strain	Species	Genus	Family	Order	Class	Phylum	Kingdom	Host	Version	NCBI Taxonomy ID	Annotation version ID	RefSeq ID	GCF ID	IMG Genome ID	Strain/species reference	Reference category	Ecotype	Specific Ecosystem	Cell Shape	Cultured	Diseases	Ecosystem	Ecosystem Category	Ecosystem Subtype	Ecosystem Type	Gram Staining	Oxygen Requirement	Habitat	Metabolism	Motility	Sample Body Site	Sample Body Subsite	Genome Size   * assembled	Gene Count   * assembled	GC Count   * assembled	GC   * assembled	CDS Count   * assembled	CDS %   * assembled	Genome link
Achromobacter_xylosoxidans_A8	Achromobacter xylosoxidans A8 (762376.5)	1	Achromobacter xylosoxidans A8	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	AGORA1.03	762376	762376.5		GCF_000165835.1	649633001	PMID:20203603; PMID:24861948	AGORA 1.03	0	0	Rod-shaped	Yes	Opportunistic infection	Environmental	Terrestrial	Unclassified	Soil	Gram-	Aerobe	Host, Soil	0	Motile	0	0	7359146	6885	4840772	66	6815	98.98	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/835/GCF_000165835.1_ASM16583v1
Achromobacter_xylosoxidans_ERR2221244	N/A	0	Achromobacter xylosoxidans ERR2221244	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	Forster	85698					PMID:30718869	Forster et al. resource	0	0	Rod-shaped							Gram-	Aerobe	0	0	Motile	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/004/ERR2221244/ERR2221244_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/004/ERR2221244/ERR2221244_2.fastq.gz
Achromobacter_xylosoxidans_ERR2221245	N/A	0	Achromobacter xylosoxidans ERR2221245	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	Forster	85698					PMID:30718869	Forster et al. resource	0	0	Rod-shaped							Gram-	Aerobe	0	0	Motile	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/005/ERR2221245/ERR2221245_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/005/ERR2221245/ERR2221245_2.fastq.gz
Achromobacter_xylosoxidans_ERR2221246	N/A	0	Achromobacter xylosoxidans ERR2221246	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	Forster	85698					PMID:30718869	Forster et al. resource	0	0	Rod-shaped							Gram-	Aerobe	0	0	Motile	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/006/ERR2221246/ERR2221246_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/006/ERR2221246/ERR2221246_2.fastq.gz
Achromobacter_xylosoxidans_ERR2221247	N/A	0	Achromobacter xylosoxidans ERR2221247	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	Forster	85698					PMID:30718869	Forster et al. resource	0	0	Rod-shaped							Gram-	Aerobe	0	0	Motile	0	0							ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/007/ERR2221247/ERR2221247_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR222/007/ERR2221247/ERR2221247_2.fastq.gz
Achromobacter_xylosoxidans_NBRC_15126	N/A	0	Achromobacter xylosoxidans NBRC 15126 = ATCC 27061	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	AGORA1.03	1216976			GCF_001598595.1		PMID:20203603; PMID:24861948	AGORA 1.03	0	0	Rod-shaped							Gram-	Aerobe	0	0	Motile	0	0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/598/595/GCF_001598595.1_ASM159859v1
Achromobacter_xylosoxidans_NCTC10807	N/A	0	Achromobacter xylosoxidans NCTC10807	Achromobacter xylosoxidans	Achromobacter	Alcaligenaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	85698		GCF_001457475.1	GCF_001457475.1	2667527485	PMID:31275260	Literature research	0	0	Rod-shaped	Yes	0	0	0	0	0	Gram-	Aerobe	0	0	Motile	0	0	6813182	6229	4590384	67	6145	98.65	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/457/475/GCF_001457475.1_NCTC10807
Acidaminobacter_hydrogenoformans_DSM_2784	N/A	0	Acidaminobacter hydrogenoformans DSM 2784	Acidaminobacter hydrogenoformans	Acidaminobacter	Clostridiales Incertae Sedis XII	Clostridiales	Clostridia	Firmicutes	Bacteria	Human	AGORA2	1120920			GCF_900103005.1	2599185234	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0	0	Rod-shaped	Yes	0	0	0	0	0	Gram-	Anaerobe	Estuaries, Mud	0	Nonmotile	0	0	3615609	3376	1762943	49	3280	97.16	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/103/005/GCF_900103005.1_IMG-taxon_2599185234_annotated_assembly
Acidaminococcus_fermentans_DSM_20731	Acidaminococcus fermentans DSM 20731 (591001.3)	2	Acidaminococcus fermentans DSM 20731	Acidaminococcus fermentans	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Human	AGORA1.03	591001	591001.3		GCF_000025305.1		PMID:20203603; PMID:24861948	AGORA 1.03	0	0	0							Gram-	Anaerobe	0	0	0	0	0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/305/GCF_000025305.1_ASM2530v1
Acidaminococcus_intestini_RyC_MR95	Acidaminococcus intestini RyC-MR95 (568816.4)	2	Acidaminococcus intestini RyC-MR95	Acidaminococcus intestini	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Human	AGORA1.03	568816	568816.4		GCF_000230275.1	2511231106	PMID:20203603; PMID:24861948	AGORA 1.03	0	0	Coccus-shaped	Yes	Opportunistic infection	Host-associated	Human	Unclassified	Skin	Gram-	Anaerobe	Host, Human intestinal microflora	0	0	Gastrointestinal tract	0	2487765	2462	1244395	50	2401	97.52	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/230/275/GCF_000230275.1_ASM23027v1
Acidaminococcus_sp_BV3L6	N/A	0	Acidaminococcus sp. BV3L6	Acidaminococcus sp. BV3L6	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Human	AGORA2	1111120			GCF_000468835.1	2558860385	PMID:31171880	Literature research	0	0	0	Yes	0	Host-associated	Animal	Unclassified	Reproductive system	Gram-	Anaerobe	Host	0	0	Urogenital tract	Vaginal	2171264	2172	1076511	50	2115	97.38	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/468/835/GCF_000468835.1_AspBV3L6v1.0
Acidaminococcus_sp_D21	Acidaminococcus sp. D21 (563191.3)	2	Acidaminococcus sp. D21	Acidaminococcus sp. D21	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Human	AGORA1.03	904	563191.3		GCF_000174215.1		PMID:20203603; PMID:24861948	AGORA 1.03	0	0	0							Gram-	Anaerobe	0	0	0	0	0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/215/GCF_000174215.1_ASM17421v1
Acidaminococcus_sp_HPA0509	Acidaminococcus sp. HPA0509 (1203555.3)	1	Acidaminococcus sp. HPA0509	Acidaminococcus sp. HPA0509	Acidaminococcus	Acidaminococcaceae	Acidaminococcales	Negativicutes	Firmicutes	Bacteria	Human	AGORA2	1203555	1203555.3	GCF_000411395.1	GCF_000411395.1	2541047012	PMID:31275260	Literature research	0	0	0	Yes	0	Host-associated	Human	Unclassified	Digestive system	Gram-	Anaerobe	Host	0	0	Gastrointestinal tract	Ileal-anal pouch	2243882	2169	1120667	50	2108	97.19	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/411/395/GCF_000411395.1_Acid_sp_HPA0509_V1
Acidobacterium_ailaaui_PMMR2	N/A	0	Acidobacterium ailaaui DSM 27394	Acidobacterium ailaaui	Acidobacterium	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria	Mouse	AGORA2	1382359			GCF_000688455.1	2558860986	Personal communication, Dr. Jan Krumsiek	Personal communication	0	0	0							Gram-	Obligate aerobe	0	0	0	0	0							ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/688/455/GCF_000688455.1_ASM68845v1
Acidobacterium_capsulatum_ATCC_51196	Acidobacterium capsulatum ATCC 51196 (240015.3)	1	Acidobacterium capsulatum ATCC 51196	Acidobacterium capsulatum	Acidobacterium	Acidobacteriaceae	Acidobacteriales	Acidobacteriia	Acidobacteria	Bacteria	Mouse	AGORA2	240015	240015.3		GCF_000022565.1	643692001	Personal communication, Dr. Jan Krumsiek	Personal communication	0	0	Rod-shaped	Yes	0	Environmental	Terrestrial	Mine	Geologic	Gram-	Obligate aerobe	Acid mine drainage, Fresh water, Soil	0	Nonmotile	0	0	4127356	3425	2496927	60	3377	98.6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/565/GCF_000022565.1_ASM2256v1
Acidovorax_caeni_R_24608	N/A	0	Acidovorax caeni R-24608	Acidovorax caeni	Acidovorax	Comamonadaceae	Burkholderiales	Betaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	343013		GCF_001298675.1	GCF_001298675.1	2740892283	https://www.biorxiv.org/content/10.1101/691030v1	Literature research	0	0	Rod-shaped	Yes	0	0	0	0	0	Gram-	Anaerobe	0	0	Motile	0	0	4174129	3952	2734603	66	3882	98.23	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/298/675/GCF_001298675.1_Draft_Genome
Acinetobacter_baumannii_1656_2	Acinetobacter baumannii 1656-2 (696749.3)	2	Acinetobacter baumannii 1656-2	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	696749	696749.3	NZ_JIAL01000001	GCF_000188215.1	650377901	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	Rod-shaped	Yes	Nosocomial infection, Pneumonia	0	0	0	0	Gram-	Aerobe	Fresh water, Host, Human skin, Skin	0	Nonmotile	0	0	4023106	3913	1571082	39	3824	97.73	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/188/215/GCF_000188215.1_ASM18821v1
Acinetobacter_baumannii_3990	Acinetobacter baumannii 3990 (886888.3)	2	Acinetobacter baumannii 3990	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	886888	886888.3		GCF_000189675.1	2547132045	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	Rod-shaped	Yes	Nosocomial infection, Pneumonia	Engineered	Built environment	Unclassified	Unclassified	Gram-	Aerobe	Fresh water, Host, Human skin, Skin	0	Nonmotile	0	0	4015011	3959	1559504	39	3871	97.78	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/189/675/GCF_000189675.1_ASM18967v2
Acinetobacter_baumannii_48055	Acinetobacter baumannii 48055 (1293574.3)	2	Acinetobacter baumannii 48055	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1293574	1293574.3		GCF_000359725.1	2551306628	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0	Yes	0	Host-associated	Animal	Unclassified	Respiratory system	Gram-	Aerobe	0	0	Nonmotile	0	0	4049562	3983	1579624	39	3887	97.59	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/359/725/GCF_000359725.1_AB48055
Acinetobacter_baumannii_53264	Acinetobacter baumannii 53264 (1216295.3)	2	Acinetobacter baumannii 53264	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1216295	1216295.3		GCF_000332855.1	2551306281	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0	Yes	0	Host-associated	Animal	Unclassified	Respiratory system	Gram-	Aerobe	0	0	Nonmotile	0	0	3976592	3904	1547891	39	3812	97.64	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/332/855/GCF_000332855.1_AB53264
Acinetobacter_baumannii_6013113	N/A	0	Acinetobacter baumannii 6013113	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	592014		GCF_000163375.2	GCF_000163375.2	2562617174	PMID:31275260	Literature research	0	0	Coccus-shaped	Yes	0	Host-associated	Human	Unclassified	Skin	Gram-	Aerobe	Host, Human skin	0	Nonmotile	Skin	0	3993307	4064	1552266	39	4010	98.67	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/375/GCF_000163375.2_ASM16337v2
Acinetobacter_baumannii_6013150	N/A	0	Acinetobacter baumannii 6013150	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	525243		GCF_000163355.2	GCF_000163355.2	647000204	PMID:31275260	Literature research	0	0	0	Yes	0	Host-associated	Human	Unclassified	Skin	Gram-	Aerobe	Host, Human skin	0	Nonmotile	Skin	0	4006788	3949	1557658	39	3895	98.63	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/355/GCF_000163355.2_ASM16335v2
Acinetobacter_baumannii_6014059	N/A	0	Acinetobacter baumannii 6014059	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	525242		GCF_000163395.2	GCF_000163395.2	2562617175	PMID:31275260	Literature research	0	0	Coccus-shaped	Yes	0	Host-associated	Human	Unclassified	Skin	Gram-	Aerobe	Host, Human skin	0	Nonmotile	Skin	0	3874368	3937	1511109	39	3880	98.55	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/395/GCF_000163395.2_ASM16339v2
Acinetobacter_baumannii_AA_014	Acinetobacter baumannii AA-014 (903937.3)	2	Acinetobacter baumannii AA-014	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	903937	903937.3		GCF_000335595.1	2531839634	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	Rod-shaped	Yes	Nosocomial infection, Pneumonia	Host-associated	Unclassified	Unclassified	Unclassified	Gram-	Aerobe	Fresh water, Host, Human skin, Skin	0	Nonmotile	0	0	3857932	3718	1505906	39	3618	97.31	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/335/595/GCF_000335595.1_gacin50v1.0
Acinetobacter_baumannii_AB_1536_8	Acinetobacter baumannii AB_1536-8 (1221244.3)	2	Acinetobacter baumannii AB 1536-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1221244	1221244.3		GCF_000301835.1	2551306296	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0	Yes	0	0	0	0	0	Gram-	Aerobe	0	0	Nonmotile	0	0	3844187	3715	1492380	39	3626	97.6	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/301/835/GCF_000301835.1_ASM30183v1
Acinetobacter_baumannii_AB_1582_8	Acinetobacter baumannii AB_1582-8 (1221245.3)	2	Acinetobacter baumannii AB 1582-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1221245	1221245.3		GCF_000301175.1	2551306272	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0	Yes	0	Host-associated	Animal	Unclassified	Respiratory system	Gram-	Aerobe	0	0	Nonmotile	0	0	4054837	4034	1580164	39	3948	97.87	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/301/175/GCF_000301175.1_ASM30117v1
Acinetobacter_baumannii_AB_1594_8	Acinetobacter baumannii AB_1594-8 (1221247.3)	2	Acinetobacter baumannii AB 1594-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1221247	1221247.3		GCF_000301195.1	2551306270	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0	Yes	0	Host-associated	Animal	Unclassified	Respiratory system	Gram-	Aerobe	0	0	Nonmotile	0	0	3973074	3924	1550599	39	3843	97.94	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/301/195/GCF_000301195.1_ASM30119v1
Acinetobacter_baumannii_AB_1595_8	Acinetobacter baumannii AB_1595-8 (1221248.3)	2	Acinetobacter baumannii AB 1595-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1221248	1221248.3		GCF_000301215.1	2551306301	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0	Yes	0	Host-associated	Animal	Unclassified	Unclassified	Gram-	Aerobe	0	0	Nonmotile	0	0	4070254	4026	1584779	39	3942	97.91	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/301/215/GCF_000301215.1_ASM30121v1
Acinetobacter_baumannii_AB_1649_8	Acinetobacter baumannii AB_1649-8 (1221249.3)	2	Acinetobacter baumannii AB 1649-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1221249	1221249.3		GCF_000301235.1	2551306266	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0	Yes	0	Host-associated	Animal	Unclassified	Respiratory system	Gram-	Aerobe	0	0	Nonmotile	0	0	3786017	3691	1475316	39	3617	98	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/301/235/GCF_000301235.1_ASM30123v1
Acinetobacter_baumannii_AB_1650_8	Acinetobacter baumannii AB_1650-8 (1221250.3)	2	Acinetobacter baumannii AB 1650-8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1221250	1221250.3		GCF_000301255.1	2551306276	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0	Yes	0	Host-associated	Animal	Unclassified	Unclassified	Gram-	Aerobe	0	0	Nonmotile	0	0	3791738	3703	1477204	39	3618	97.7	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/301/255/GCF_000301255.1_ASM30125v1
Acinetobacter_baumannii_AB_1766_8	Acinetobacter baumannii AB_1766_8 (1221251.3)	2	Acinetobacter baumannii AB 1766 8	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1221251	1221251.3		GCF_000301275.1	2551306300	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0	Yes	0	Host-associated	Animal	Unclassified	Circulatory system	Gram-	Aerobe	0	0	Nonmotile	0	0	4010535	3944	1563545	39	3862	97.92	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/301/275/GCF_000301275.1_ASM30127v1
Acinetobacter_baumannii_AB_2007_09_110_01_7	Acinetobacter baumannii AB_2007-09-110-01-7 (1221252.3)	2	Acinetobacter baumannii AB 2007-09-110-01-7	Acinetobacter baumannii	Acinetobacter	Moraxellaceae	Pseudomonadales	Gammaproteobacteria	Proteobacteria	Bacteria	Human	AGORA2	1221252	1221252.3		GCF_000301875.1	2551306282	Strains of species found in the human gut (PMID:24861948) present in PubSEED	Initial strain selection	0	0	0	Yes	0	Engineered	Built environment	Unclassified	Unclassified	Gram-	Aerobe	0	0	Nonmotile	0	0	3965849	3911	1542292	39	3818	97.62	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/301/875/GCF_000301875.1_ASM30187v1
